Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"261, rue Hugo",535000,St-Eustache,Laurentides,4.0,2.0,,1.0,988.0,6500.0,282200.0,29800.0,240000.0,
"175, rue L.-P.-Brodeur",675000,Trois-Rivières (Cap-De-La-Madeleine),Mauricie,5.0,2.0,1.0,1.0,2020.0,11160.0,535727.0,33447.0,208300.0,129601.0
24e Avenue,225000,St-Côme,Lanaudière,,,,,,23026.0,139856.0,,,
"102-517, rue de Cannes",489999,Gatineau (Gatineau),Outaouais,3.0,2.0,,1.0,1478.0,,378100.0,29400.0,90000.0,50300.0
"95, rue Philippe-Poulin",510000,Lévis,Québec Rive-Sud (Lévis),5.0,2.0,,2.0,,8361.0,365257.0,35821.0,233187.0,155604.0
"4-808C, rue Notre-Dame",334900,Repentigny (Repentigny),Lanaudière,2.0,1.0,1.0,1.0,1117.0,,227579.0,20210.0,58589.0,
"10, chemin du Grenat",734000,L'Ange-Gardien-Outaouais,Outaouais,3.0,3.0,,2.0,2440.0,,354600.0,,19000.0,
"3445, avenue Montclair",1499999,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,4.0,3.0,1.0,2.0,2040.0,,747952.0,92060.0,274497.0,
"A-B-160, rue Cazeneuve",460000,L'Assomption,Lanaudière,3.0,1.0,,1.0,1210.0,5000.0,384500.0,23500.0,340000.0,110000.0
"44, rue du Versant",179000,Cantley,Outaouais,,,,,,87000.0,50097.0,3300.0,,
"555, rue Adèle-Berthelot - Le Monaco Garage double - Par Habitation Cousineau",835225,St-Colomban,Laurentides,3.0,1.0,1.0,2.0,1869.0,28600.0,,,,
"550, rue Miray",274900,Beauport,Québec Rive-Nord,2.0,1.0,1.0,1.0,,,233168.0,19456.0,134934.0,121714.0
"549, rue Adèle-Berthelot - Barcelone - Par Habitation Cousineau",743900,St-Colomban,Laurentides,3.0,1.0,1.0,2.0,2058.0,32123.0,,,,
"51, avenue du Parc",269000,St-Jean-De-Matha,Lanaudière,2.0,1.0,,1.0,1052.0,,173357.0,13104.0,140000.0,120000.0
"208, montée du Deuxième-Ruisseau",1575000,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),3.0,,,,,,,,,
"731, rue Notre-Dame",249000,ND-Du-Bon-Conseil,Centre-du-Québec,3.0,2.0,,2.0,1566.0,8016.0,110000.0,8703.0,67432.0,
"345-365, rue Beauchemin",845000,La Prairie,Montérégie (Rive-Sud Montréal),8.0,3.0,,,,7614.0,471300.0,46000.0,,125300.0
"205, rue de l'Affluent",779000,St-Nicolas,Québec Rive-Sud (Lévis),6.0,3.0,1.0,2.0,1384.0,,478200.0,46500.0,320000.0,
"1066, rue des Gardenias",624000,Ile d'Orléans (St-Pierre),Québec Rive-Nord,5.0,2.0,1.0,2.0,1861.0,21200.0,421245.0,39940.0,403236.0,143226.0
"7798, boulevard Gouin Est",932500,Rivière des Prairies,Montréal / l'Île,3.0,2.0,1.0,3.0,1660.0,,519455.0,59758.0,,
"4312, rue des Montgolfières",576900,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3.0,1.0,,1.0,1433.0,,314485.0,30527.0,144400.0,
"., Rue Lambert-Binette - Par Construction Briand",251573,Ste-Marthe-Sur-Le-Lac,Laurentides,2.0,1.0,,1.0,,,,,,
"X, rue des Méandres",239000,Canton-de-Hatley,Estrie,,,,,,85842.0,244998.0,10742.0,,
"615-999, rue Beauregard",280000,Ste-Foy,Québec Rive-Nord,2.0,1.0,,1.0,900.0,,229795.0,19661.0,73135.0,23762.0
"700, Rue Gilles Lupien- Par Construction D.M. Turcotte",280000,Trois-Rivières (Trois-Rivières),Mauricie,2.0,1.0,1.0,2.0,1260.0,,280000.0,13800.0,,
